State,Rule Type,Action Type,Description,Status,Effective Date,Link Text,URL,Hyperlink,Links,Notes,Entry Last Updated
Alabama,Binding,Environment,Water systems may be required to monitor for PFOA and PFOS.,In effect,8/9/2019,State Website,http://adem.alabama.gov/programs/water/drinkingwater/pfaspage.cnt,State Website,"<a href=""http://adem.alabama.gov/programs/water/drinkingwater/pfaspage.cnt"" target=""_blank"" rel=""noopener"">State Website</a>",,5/26/2020
Alabama,Non-binding guidance,Environment,"Developing appropriate testing protocols, health-based standards, proper messageing to the public.",Pending,,Regulation,https://www.bloomberglaw.com/document/X3V9LM18,Regulation,"<a href=""https://www.bloomberglaw.com/document/X3V9LM18"" target=""_blank"" rel=""noopener"">Regulation</a>",,5/26/2020
Alaska,Proposed Action,,Department of Transportation and Public Facilities proposes conducting a geotechnical survey and contaminated sites sampling at the Kodiak Airport in response to previous documentation of PFAS chemicals.,Pending,,Regulation,https://www.bloomberglaw.com/product/blaw/document/X1PV355100411GO4PBGGC04119D?emc=BLAW%3A454381335%3A0&link=ewogICAgImN0eHQiOiAiRE9DIiwKICAgICJpZCI6ICJYMVBWMzU1MTAwNDExR080UEJHR0MwNDExOUQ%2FcmVzb3VyY2VfaWQ9OWQyMjc2YzNlZTM1MmE1OTIzNTlkZTIyZjk5Mjc1ZTgiLAogICAgInNpZyI6ICJMaTRRaE9BaGEzMlo0d1ZhYnB3SWlESXRkdTQ9IiwKICAgICJ0aW1lIjogIjE2ODI1MTM0NzUiLAogICAgInV1aWQiOiAiYjRTN0xFUFl6aWhwR1BLcGd3Y0l5QT09bkNoeGpKR2x4eEx4eWRHN09lR3VsUT09IiwKICAgICJ2IjogIjEiCn0K&resource_id=9d2276c3ee352a592359de22f99275e8,Regulation,"<a href=""https://www.bloomberglaw.com/product/blaw/document/X1PV355100411GO4PBGGC04119D?emc=BLAW%3A454381335%3A0&link=ewogICAgImN0eHQiOiAiRE9DIiwKICAgICJpZCI6ICJYMVBWMzU1MTAwNDExR080UEJHR0MwNDExOUQ%2FcmVzb3VyY2VfaWQ9OWQyMjc2YzNlZTM1MmE1OTIzNTlkZTIyZjk5Mjc1ZTgiLAogICAgInNpZyI6ICJMaTRRaE9BaGEzMlo0d1ZhYnB3SWlESXRkdTQ9IiwKICAgICJ0aW1lIjogIjE2ODI1MTM0NzUiLAogICAgInV1aWQiOiAiYjRTN0xFUFl6aWhwR1BLcGd3Y0l5QT09bkNoeGpKR2x4eEx4eWRHN09lR3VsUT09IiwKICAgICJ2IjogIjEiCn0K&resource_id=9d2276c3ee352a592359de22f99275e8"" target=""_blank"" rel=""noopener"">Regulation</a>",,5/2/2023
Alaska,Legislation,Product,Bill would prohibit the use of firefighting substances that contain PFAS (with certain exceptions). It would also require the state to accept for disposal up to 25 gallons of PFAS-containing firefighting foam annually per state resident.,Pending,,Bill,https://www.akleg.gov/basis/Bill/Detail/33?Root=SB67,Bill,"<a href=""https://www.akleg.gov/basis/Bill/Detail/33?Root=SB67"" target=""_blank"" rel=""noopener"">Bill</a>",SB 67 / HB 166,2/14/2023
Alaska,Non-binding guidance,Environment,The Department of Transportation and Public Facilities is conducting evaluation of PFAS at state-owned properties it is responsible for (including airports). The agency has responded to at least five communities with PFAS contamination.,In effect,,State Website,https://dot.alaska.gov/airportwater/,State Website,"<a href=""https://dot.alaska.gov/airportwater/"" target=""_blank"" rel=""noopener"">State Website</a>",,7/22/2021
Alaska,Binding,Environment,Established levels of PFOA and PFOS at which water treatment or alternative water sources must be provided by responsible parties established at 70 parts per trillion.,In effect,4/9/2019,Memorandum,https://src.bna.com/L3R,Memorandum,"<a href=""https://src.bna.com/L3R"" target=""_blank"" rel=""noopener"">Memorandum</a>",,5/26/2020
Alaska,Binding,Environment,Groundwater and surface water cleanup levels established at 0.40 micrograms/liters for PFOA and PFOS.,In effect,,Regulation,https://www.bloomberglaw.com/document/X4A7NKH8,Regulation,"<a href=""https://www.bloomberglaw.com/document/X4A7NKH8"" target=""_blank"" rel=""noopener"">Regulation</a>",,5/26/2020
Alaska,Proposed Action,Environment,"A rule proposed in October 2018 would amend the groundwater and surface water cleanup levels for PFOA and PFOS and set cleanup levels for PFBS, PFHpA, PFHxS and PFNA. The proposal is on hold.",Pending,,State Website,https://dec.alaska.gov/spar/regulation-projects/pfas-cleanup-level-amendments/,State Website,"<a href=""https://dec.alaska.gov/spar/regulation-projects/pfas-cleanup-level-amendments/"" target=""_blank"" rel=""noopener"">State Website</a>",,5/26/2020
Arizona,Legislation,Environment,Bill would require regulators to establish water quality standards for PFAS and other substances.,Pending,,Bill,https://apps.azleg.gov/BillStatus/BillOverview/79107,Bill,"<a href=""https://apps.azleg.gov/BillStatus/BillOverview/79107"" target=""_blank"" rel=""noopener"">Bill</a>",SB 1440,1/31/2023
Arizona,Non-binding guidance,Product,"A one-year pilot program from the Arizona Department of Environmental Quality will remove, dispose, and replace PFAS-containing firefighting foam at no cost for select fire departments.",In effect,12/6/2022,Press Release,https://www.azdeq.gov/press-releases/press-release-adeq-assist-select-fire-departments-eliminating-firefighting-foam,Press Release,"<a href=""https://www.azdeq.gov/press-releases/press-release-adeq-assist-select-fire-departments-eliminating-firefighting-foam"" target=""_blank"" rel=""noopener"">Press Release</a>","Program is funded through a $395,500 allocation in the FY 2023 budget ",12/15/2022
Arizona,Legislation,Product,"Bans the use of intentionally added PFAS chemicals in class B firefighting foam for testing or training purposes except for testing in facilities that have implemented containment, treatment, and disposal measures to prevent uncontrolled environmental releases.",In effect,1/1/2020,Law,https://www.azleg.gov/legtext/54Leg/1R/laws/0222.pdf,Law,"<a href=""https://www.azleg.gov/legtext/54Leg/1R/laws/0222.pdf"" target=""_blank"" rel=""noopener"">Law</a>",,5/26/2020
Arkansas,Legislation,Product,Law prohibits the use of intentionally added PFAS substances in Class B firefighting foam used for testing or training purposes.,In effect,1/1/2022,Law,https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2021%2F2021R&measureno=HB1351,Law,"<a href=""https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2021%2F2021R&measureno=HB1351"" target=""_blank"" rel=""noopener"">Law</a>","HB 1351; Signed into law on March 10, 2021",3/8/2022
